hospital_name;year;type_activity;total
hospital_universitario_del_henares;2015;Urgencias totales;79879.0
hospital_universitario_del_henares;2016;Urgencias totales;84440.0
hospital_universitario_del_henares;2017;Urgencias totales;83565.0
hospital_universitario_del_henares;2018;Urgencias totales;81932.0
hospital_universitario_del_henares;2019;Urgencias totales;84351.0
hospital_universitario_del_henares;2020;Urgencias totales;66773.0
hospital_universitario_del_henares;2021;Urgencias totales;87400.0
hospital_universitario_del_henares;2022;Urgencias totales;100515.0
hospital_universitario_del_tajo;2012;Estancia media global;6.16
hospital_universitario_del_tajo;2013;Estancia media global;6.03
hospital_universitario_del_tajo;2014;Estancia media global;6.25
hospital_universitario_del_tajo;2015;Estancia media global;6.22
hospital_universitario_del_tajo;2016;Estancia media global;6.07
hospital_universitario_del_tajo;2017;Estancia media global;6.08
hospital_universitario_del_tajo;2018;Estancia media global;5.92
hospital_universitario_del_tajo;2019;Estancia media global;6.03
hospital_universitario_del_tajo;2020;Estancia media global;6.82
hospital_universitario_del_tajo;2021;Estancia media global;6.65
hospital_universitario_del_tajo;2022;Estancia media global;6.06
hospital_universitario_del_tajo;2012;Total ingresos;4575.0
hospital_universitario_del_tajo;2013;Total ingresos;4727.0
hospital_universitario_del_tajo;2014;Total ingresos;4670.0
hospital_universitario_del_tajo;2015;Total ingresos;4899.0
hospital_universitario_del_tajo;2016;Total ingresos;4867.0
hospital_universitario_del_tajo;2017;Total ingresos;4743.0
hospital_universitario_del_tajo;2018;Total ingresos;4687.0
hospital_universitario_del_tajo;2019;Total ingresos;4504.0
hospital_universitario_del_tajo;2020;Total ingresos;4146.0
hospital_universitario_del_tajo;2021;Total ingresos;4126.0
hospital_universitario_del_tajo;2022;Total ingresos;4517.0
hospital_universitario_del_tajo;2012;Ingresos urgentes;3920.0
hospital_universitario_del_tajo;2013;Ingresos urgentes;3931.0
hospital_universitario_del_tajo;2014;Ingresos urgentes;3963.0
hospital_universitario_del_tajo;2015;Ingresos urgentes;4270.0
hospital_universitario_del_tajo;2016;Ingresos urgentes;4268.0
hospital_universitario_del_tajo;2017;Ingresos urgentes;4240.0
hospital_universitario_del_tajo;2018;Ingresos urgentes;4084.0
hospital_universitario_del_tajo;2019;Ingresos urgentes;3809.0
hospital_universitario_del_tajo;2020;Ingresos urgentes;3630.0
hospital_universitario_del_tajo;2021;Ingresos urgentes;3565.0
hospital_universitario_del_tajo;2022;Ingresos urgentes;3984.0
hospital_universitario_del_tajo;2012;Ingresos programados;655.0
hospital_universitario_del_tajo;2013;Ingresos programados;796.0
hospital_universitario_del_tajo;2014;Ingresos programados;707.0
hospital_universitario_del_tajo;2015;Ingresos programados;629.0
hospital_universitario_del_tajo;2016;Ingresos programados;599.0
hospital_universitario_del_tajo;2017;Ingresos programados;503.0
hospital_universitario_del_tajo;2018;Ingresos programados;603.0
hospital_universitario_del_tajo;2019;Ingresos programados;695.0
hospital_universitario_del_tajo;2020;Ingresos programados;516.0
hospital_universitario_del_tajo;2021;Ingresos programados;561.0
hospital_universitario_del_tajo;2022;Ingresos programados;533.0
hospital_universitario_del_tajo;2012;Urgencias totales;48109.0
hospital_universitario_del_tajo;2013;Urgencias totales;50136.0
hospital_universitario_del_tajo;2014;Urgencias totales;51843.0
hospital_universitario_del_tajo;2015;Urgencias totales;56316.0
hospital_universitario_del_tajo;2016;Urgencias totales;58652.0
hospital_universitario_del_tajo;2017;Urgencias totales;58890.0
hospital_universitario_del_tajo;2018;Urgencias totales;59888.0
hospital_universitario_del_tajo;2019;Urgencias totales;62157.0
hospital_universitario_del_tajo;2020;Urgencias totales;48679.0
hospital_universitario_del_tajo;2021;Urgencias totales;62990.0
hospital_universitario_del_tajo;2022;Urgencias totales;68814.0
hospital_universitario_infanta_sofia;2012;Estancia media global;5.98
hospital_universitario_infanta_sofia;2013;Estancia media global;6.12
hospital_universitario_infanta_sofia;2014;Estancia media global;5.61
hospital_universitario_infanta_sofia;2015;Estancia media global;5.82
hospital_universitario_infanta_sofia;2016;Estancia media global;5.72
hospital_universitario_infanta_sofia;2017;Estancia media global;5.48
hospital_universitario_infanta_sofia;2018;Estancia media global;5.48
hospital_universitario_infanta_sofia;2019;Estancia media global;5.38
hospital_universitario_infanta_sofia;2020;Estancia media global;6.0
hospital_universitario_infanta_sofia;2021;Estancia media global;6.01
hospital_universitario_infanta_sofia;2022;Estancia media global;5.65
hospital_universitario_infanta_sofia;2012;Total ingresos;12608.0
hospital_universitario_infanta_sofia;2013;Total ingresos;12784.0
hospital_universitario_infanta_sofia;2014;Total ingresos;13399.0
hospital_universitario_infanta_sofia;2015;Total ingresos;13882.0
hospital_universitario_infanta_sofia;2016;Total ingresos;14229.0
hospital_universitario_infanta_sofia;2017;Total ingresos;14592.0
hospital_universitario_infanta_sofia;2018;Total ingresos;15193.0
hospital_universitario_infanta_sofia;2019;Total ingresos;15826.0
hospital_universitario_infanta_sofia;2020;Total ingresos;14969.0
hospital_universitario_infanta_sofia;2021;Total ingresos;15501.0
hospital_universitario_infanta_sofia;2022;Total ingresos;17053.0
hospital_universitario_infanta_sofia;2012;Ingresos urgentes;9071.0
hospital_universitario_infanta_sofia;2013;Ingresos urgentes;9220.0
hospital_universitario_infanta_sofia;2014;Ingresos urgentes;9858.0
hospital_universitario_infanta_sofia;2015;Ingresos urgentes;10418.0
hospital_universitario_infanta_sofia;2016;Ingresos urgentes;10732.0
hospital_universitario_infanta_sofia;2017;Ingresos urgentes;10747.0
hospital_universitario_infanta_sofia;2018;Ingresos urgentes;11112.0
hospital_universitario_infanta_sofia;2019;Ingresos urgentes;11562.0
hospital_universitario_infanta_sofia;2020;Ingresos urgentes;11761.0
hospital_universitario_infanta_sofia;2021;Ingresos urgentes;11789.0
hospital_universitario_infanta_sofia;2022;Ingresos urgentes;12747.0
hospital_universitario_infanta_sofia;2012;Ingresos programados;3537.0
hospital_universitario_infanta_sofia;2013;Ingresos programados;3564.0
hospital_universitario_infanta_sofia;2014;Ingresos programados;3541.0
hospital_universitario_infanta_sofia;2015;Ingresos programados;3464.0
hospital_universitario_infanta_sofia;2016;Ingresos programados;3497.0
hospital_universitario_infanta_sofia;2017;Ingresos programados;3845.0
hospital_universitario_infanta_sofia;2018;Ingresos programados;4081.0
hospital_universitario_infanta_sofia;2019;Ingresos programados;4264.0
hospital_universitario_infanta_sofia;2020;Ingresos programados;3208.0
hospital_universitario_infanta_sofia;2021;Ingresos programados;3712.0
hospital_universitario_infanta_sofia;2022;Ingresos programados;4306.0
hospital_universitario_infanta_sofia;2012;Urgencias totales;109274.0
hospital_universitario_infanta_sofia;2013;Urgencias totales;109778.0
hospital_universitario_infanta_sofia;2014;Urgencias totales;112719.0
hospital_universitario_infanta_sofia;2015;Urgencias totales;115479.0
hospital_universitario_infanta_sofia;2016;Urgencias totales;119807.0
hospital_universitario_infanta_sofia;2017;Urgencias totales;121142.0
hospital_universitario_infanta_sofia;2018;Urgencias totales;121574.0
hospital_universitario_infanta_sofia;2019;Urgencias totales;127625.0
hospital_universitario_infanta_sofia;2020;Urgencias totales;96083.0
hospital_universitario_infanta_sofia;2021;Urgencias totales;125540.0
hospital_universitario_infanta_sofia;2022;Urgencias totales;143632.0
hospital_universitario_de_fuenlabrada;2012;Estancia media global;5.98
hospital_universitario_de_fuenlabrada;2013;Estancia media global;5.8
hospital_universitario_de_fuenlabrada;2014;Estancia media global;5.88
hospital_universitario_de_fuenlabrada;2015;Estancia media global;6.09
hospital_universitario_de_fuenlabrada;2016;Estancia media global;6.15
hospital_universitario_de_fuenlabrada;2017;Estancia media global;5.71
hospital_universitario_de_fuenlabrada;2018;Estancia media global;5.77
hospital_universitario_de_fuenlabrada;2019;Estancia media global;5.82
hospital_universitario_de_fuenlabrada;2020;Estancia media global;6.21
hospital_universitario_de_fuenlabrada;2021;Estancia media global;6.2
hospital_universitario_de_fuenlabrada;2022;Estancia media global;5.79
hospital_universitario_de_fuenlabrada;2012;Total ingresos;14849.0
hospital_universitario_de_fuenlabrada;2013;Total ingresos;15072.0
hospital_universitario_de_fuenlabrada;2014;Total ingresos;15109.0
hospital_universitario_de_fuenlabrada;2015;Total ingresos;15605.0
hospital_universitario_de_fuenlabrada;2016;Total ingresos;15815.0
hospital_universitario_de_fuenlabrada;2017;Total ingresos;15886.0
hospital_universitario_de_fuenlabrada;2018;Total ingresos;16311.0
hospital_universitario_de_fuenlabrada;2019;Total ingresos;16277.0
hospital_universitario_de_fuenlabrada;2020;Total ingresos;15634.0
hospital_universitario_de_fuenlabrada;2021;Total ingresos;15226.0
hospital_universitario_de_fuenlabrada;2022;Total ingresos;17183.0
hospital_universitario_de_fuenlabrada;2012;Ingresos urgentes;11108.0
hospital_universitario_de_fuenlabrada;2013;Ingresos urgentes;11145.0
hospital_universitario_de_fuenlabrada;2014;Ingresos urgentes;11133.0
hospital_universitario_de_fuenlabrada;2015;Ingresos urgentes;11668.0
hospital_universitario_de_fuenlabrada;2016;Ingresos urgentes;11767.0
hospital_universitario_de_fuenlabrada;2017;Ingresos urgentes;11624.0
hospital_universitario_de_fuenlabrada;2018;Ingresos urgentes;11558.0
hospital_universitario_de_fuenlabrada;2019;Ingresos urgentes;11564.0
hospital_universitario_de_fuenlabrada;2020;Ingresos urgentes;11930.0
hospital_universitario_de_fuenlabrada;2021;Ingresos urgentes;10921.0
hospital_universitario_de_fuenlabrada;2022;Ingresos urgentes;12486.0
hospital_universitario_de_fuenlabrada;2012;Ingresos programados;3741.0
hospital_universitario_de_fuenlabrada;2013;Ingresos programados;3927.0
hospital_universitario_de_fuenlabrada;2014;Ingresos programados;3976.0
hospital_universitario_de_fuenlabrada;2015;Ingresos programados;3937.0
hospital_universitario_de_fuenlabrada;2016;Ingresos programados;4048.0
hospital_universitario_de_fuenlabrada;2017;Ingresos programados;4262.0
hospital_universitario_de_fuenlabrada;2018;Ingresos programados;4753.0
hospital_universitario_de_fuenlabrada;2019;Ingresos programados;4713.0
hospital_universitario_de_fuenlabrada;2020;Ingresos programados;3704.0
hospital_universitario_de_fuenlabrada;2021;Ingresos programados;4305.0
hospital_universitario_de_fuenlabrada;2022;Ingresos programados;4697.0
hospital_universitario_de_fuenlabrada;2012;Urgencias totales;121243.0
hospital_universitario_de_fuenlabrada;2013;Urgencias totales;120917.0
hospital_universitario_de_fuenlabrada;2014;Urgencias totales;116174.0
hospital_universitario_de_fuenlabrada;2015;Urgencias totales;115740.0
hospital_universitario_de_fuenlabrada;2016;Urgencias totales;119326.0
hospital_universitario_de_fuenlabrada;2017;Urgencias totales;121901.0
hospital_universitario_de_fuenlabrada;2018;Urgencias totales;120076.0
hospital_universitario_de_fuenlabrada;2019;Urgencias totales;127232.0
hospital_universitario_de_fuenlabrada;2020;Urgencias totales;99790.0
hospital_universitario_de_fuenlabrada;2021;Urgencias totales;124229.0
hospital_universitario_de_fuenlabrada;2022;Urgencias totales;143953.0
hospital_universitario_puerta_de_hierro_majadahonda;2012;Estancia media global;7.38
hospital_universitario_puerta_de_hierro_majadahonda;2013;Estancia media global;7.25
hospital_universitario_puerta_de_hierro_majadahonda;2014;Estancia media global;6.99
hospital_universitario_puerta_de_hierro_majadahonda;2015;Estancia media global;6.78
hospital_universitario_puerta_de_hierro_majadahonda;2016;Estancia media global;6.72
hospital_universitario_puerta_de_hierro_majadahonda;2017;Estancia media global;6.74
hospital_universitario_puerta_de_hierro_majadahonda;2018;Estancia media global;6.75
hospital_universitario_puerta_de_hierro_majadahonda;2019;Estancia media global;6.92
hospital_universitario_puerta_de_hierro_majadahonda;2020;Estancia media global;7.28
hospital_universitario_puerta_de_hierro_majadahonda;2021;Estancia media global;7.42
hospital_universitario_puerta_de_hierro_majadahonda;2022;Estancia media global;7.05
hospital_universitario_puerta_de_hierro_majadahonda;2012;Total ingresos;25669.0
hospital_universitario_puerta_de_hierro_majadahonda;2013;Total ingresos;25091.0
hospital_universitario_puerta_de_hierro_majadahonda;2014;Total ingresos;25774.0
hospital_universitario_puerta_de_hierro_majadahonda;2015;Total ingresos;25799.0
hospital_universitario_puerta_de_hierro_majadahonda;2016;Total ingresos;25910.0
hospital_universitario_puerta_de_hierro_majadahonda;2017;Total ingresos;25925.0
hospital_universitario_puerta_de_hierro_majadahonda;2018;Total ingresos;26048.0
hospital_universitario_puerta_de_hierro_majadahonda;2019;Total ingresos;26349.0
hospital_universitario_puerta_de_hierro_majadahonda;2020;Total ingresos;24454.0
hospital_universitario_puerta_de_hierro_majadahonda;2021;Total ingresos;23762.0
hospital_universitario_puerta_de_hierro_majadahonda;2022;Total ingresos;26457.0
hospital_universitario_puerta_de_hierro_majadahonda;2012;Ingresos urgentes;21038.0
hospital_universitario_puerta_de_hierro_majadahonda;2013;Ingresos urgentes;18590.0
hospital_universitario_puerta_de_hierro_majadahonda;2014;Ingresos urgentes;19181.0
hospital_universitario_puerta_de_hierro_majadahonda;2015;Ingresos urgentes;22028.0
hospital_universitario_puerta_de_hierro_majadahonda;2016;Ingresos urgentes;22308.0
hospital_universitario_puerta_de_hierro_majadahonda;2017;Ingresos urgentes;22384.0
hospital_universitario_puerta_de_hierro_majadahonda;2018;Ingresos urgentes;22537.0
hospital_universitario_puerta_de_hierro_majadahonda;2019;Ingresos urgentes;22918.0
hospital_universitario_puerta_de_hierro_majadahonda;2020;Ingresos urgentes;21563.0
hospital_universitario_puerta_de_hierro_majadahonda;2021;Ingresos urgentes;20663.0
hospital_universitario_puerta_de_hierro_majadahonda;2022;Ingresos urgentes;23005.0
hospital_universitario_puerta_de_hierro_majadahonda;2012;Ingresos programados;4631.0
hospital_universitario_puerta_de_hierro_majadahonda;2013;Ingresos programados;6501.0
hospital_universitario_puerta_de_hierro_majadahonda;2014;Ingresos programados;6593.0
hospital_universitario_puerta_de_hierro_majadahonda;2015;Ingresos programados;3771.0
hospital_universitario_puerta_de_hierro_majadahonda;2016;Ingresos programados;3602.0
hospital_universitario_puerta_de_hierro_majadahonda;2017;Ingresos programados;3541.0
hospital_universitario_puerta_de_hierro_majadahonda;2018;Ingresos programados;3511.0
hospital_universitario_puerta_de_hierro_majadahonda;2019;Ingresos programados;3431.0
hospital_universitario_puerta_de_hierro_majadahonda;2020;Ingresos programados;2891.0
hospital_universitario_puerta_de_hierro_majadahonda;2021;Ingresos programados;3099.0
hospital_universitario_puerta_de_hierro_majadahonda;2022;Ingresos programados;3452.0
hospital_universitario_puerta_de_hierro_majadahonda;2012;Urgencias totales;148723.0
hospital_universitario_puerta_de_hierro_majadahonda;2013;Urgencias totales;151809.0
hospital_universitario_puerta_de_hierro_majadahonda;2014;Urgencias totales;154328.0
hospital_universitario_puerta_de_hierro_majadahonda;2015;Urgencias totales;151262.0
hospital_universitario_puerta_de_hierro_majadahonda;2016;Urgencias totales;160186.0
hospital_universitario_puerta_de_hierro_majadahonda;2017;Urgencias totales;164620.0
hospital_universitario_puerta_de_hierro_majadahonda;2018;Urgencias totales;166246.0
hospital_universitario_puerta_de_hierro_majadahonda;2019;Urgencias totales;174416.0
hospital_universitario_puerta_de_hierro_majadahonda;2020;Urgencias totales;136400.0
hospital_universitario_puerta_de_hierro_majadahonda;2021;Urgencias totales;173643.0
hospital_universitario_puerta_de_hierro_majadahonda;2022;Urgencias totales;195605.0
hospital_el_escorial;2012;Estancia media global;5.21
hospital_el_escorial;2013;Estancia media global;5.34
hospital_el_escorial;2014;Estancia media global;5.24
hospital_el_escorial;2015;Estancia media global;5.07
hospital_el_escorial;2016;Estancia media global;5.29
hospital_el_escorial;2017;Estancia media global;5.74
hospital_el_escorial;2018;Estancia media global;5.3
hospital_el_escorial;2019;Estancia media global;5.06
hospital_el_escorial;2020;Estancia media global;6.19
hospital_el_escorial;2021;Estancia media global;6.17
hospital_el_escorial;2022;Estancia media global;5.88
hospital_el_escorial;2012;Total ingresos;3701.0
hospital_el_escorial;2013;Total ingresos;3575.0
hospital_el_escorial;2014;Total ingresos;3661.0
hospital_el_escorial;2015;Total ingresos;3644.0
hospital_el_escorial;2016;Total ingresos;3765.0
hospital_el_escorial;2017;Total ingresos;3657.0
hospital_el_escorial;2018;Total ingresos;3533.0
hospital_el_escorial;2019;Total ingresos;3441.0
hospital_el_escorial;2020;Total ingresos;3309.0
hospital_el_escorial;2021;Total ingresos;2951.0
hospital_el_escorial;2022;Total ingresos;3100.0
hospital_el_escorial;2012;Ingresos urgentes;2736.0
hospital_el_escorial;2013;Ingresos urgentes;2804.0
hospital_el_escorial;2014;Ingresos urgentes;2823.0
hospital_el_escorial;2015;Ingresos urgentes;2798.0
hospital_el_escorial;2016;Ingresos urgentes;2884.0
hospital_el_escorial;2017;Ingresos urgentes;2808.0
hospital_el_escorial;2018;Ingresos urgentes;2643.0
hospital_el_escorial;2019;Ingresos urgentes;2536.0
hospital_el_escorial;2020;Ingresos urgentes;2690.0
hospital_el_escorial;2021;Ingresos urgentes;2197.0
hospital_el_escorial;2022;Ingresos urgentes;2236.0
hospital_el_escorial;2012;Ingresos programados;965.0
hospital_el_escorial;2013;Ingresos programados;771.0
hospital_el_escorial;2014;Ingresos programados;838.0
hospital_el_escorial;2015;Ingresos programados;846.0
hospital_el_escorial;2016;Ingresos programados;881.0
hospital_el_escorial;2017;Ingresos programados;849.0
hospital_el_escorial;2018;Ingresos programados;890.0
hospital_el_escorial;2019;Ingresos programados;905.0
hospital_el_escorial;2020;Ingresos programados;619.0
hospital_el_escorial;2021;Ingresos programados;754.0
hospital_el_escorial;2022;Ingresos programados;864.0
hospital_el_escorial;2012;Urgencias totales;41046.0
hospital_el_escorial;2013;Urgencias totales;43457.0
hospital_el_escorial;2014;Urgencias totales;44458.0
hospital_el_escorial;2015;Urgencias totales;40293.0
hospital_el_escorial;2016;Urgencias totales;41889.0
hospital_el_escorial;2017;Urgencias totales;43380.0
hospital_el_escorial;2018;Urgencias totales;45240.0
hospital_el_escorial;2019;Urgencias totales;47998.0
hospital_el_escorial;2020;Urgencias totales;36368.0
hospital_el_escorial;2021;Urgencias totales;43991.0
hospital_el_escorial;2022;Urgencias totales;52159.0
hospital_universitario_infanta_cristina;2012;Estancia media global;4.71
hospital_universitario_infanta_cristina;2013;Estancia media global;4.9
hospital_universitario_infanta_cristina;2014;Estancia media global;4.8
hospital_universitario_infanta_cristina;2015;Estancia media global;4.92
hospital_universitario_infanta_cristina;2016;Estancia media global;4.94
hospital_universitario_infanta_cristina;2017;Estancia media global;4.8
hospital_universitario_infanta_cristina;2018;Estancia media global;5.09
hospital_universitario_infanta_cristina;2019;Estancia media global;5.15
hospital_universitario_infanta_cristina;2020;Estancia media global;5.69
hospital_universitario_infanta_cristina;2021;Estancia media global;5.7
hospital_universitario_infanta_cristina;2022;Estancia media global;5.7
hospital_universitario_infanta_cristina;2012;Total ingresos;8953.0
hospital_universitario_infanta_cristina;2013;Total ingresos;8783.0
hospital_universitario_infanta_cristina;2014;Total ingresos;9167.0
hospital_universitario_infanta_cristina;2015;Total ingresos;9293.0
hospital_universitario_infanta_cristina;2016;Total ingresos;8990.0
hospital_universitario_infanta_cristina;2017;Total ingresos;9208.0
hospital_universitario_infanta_cristina;2018;Total ingresos;8902.0
hospital_universitario_infanta_cristina;2019;Total ingresos;9045.0
hospital_universitario_infanta_cristina;2020;Total ingresos;8656.0
hospital_universitario_infanta_cristina;2021;Total ingresos;8660.0
hospital_universitario_infanta_cristina;2022;Total ingresos;8860.0
hospital_universitario_infanta_cristina;2012;Ingresos urgentes;6658.0
hospital_universitario_infanta_cristina;2013;Ingresos urgentes;6365.0
hospital_universitario_infanta_cristina;2014;Ingresos urgentes;6869.0
hospital_universitario_infanta_cristina;2015;Ingresos urgentes;7071.0
hospital_universitario_infanta_cristina;2016;Ingresos urgentes;6879.0
hospital_universitario_infanta_cristina;2017;Ingresos urgentes;7102.0
hospital_universitario_infanta_cristina;2018;Ingresos urgentes;6895.0
hospital_universitario_infanta_cristina;2019;Ingresos urgentes;7106.0
hospital_universitario_infanta_cristina;2020;Ingresos urgentes;7159.0
hospital_universitario_infanta_cristina;2021;Ingresos urgentes;7139.0
hospital_universitario_infanta_cristina;2022;Ingresos urgentes;7245.0
hospital_universitario_infanta_cristina;2012;Ingresos programados;2295.0
hospital_universitario_infanta_cristina;2013;Ingresos programados;2418.0
hospital_universitario_infanta_cristina;2014;Ingresos programados;2298.0
hospital_universitario_infanta_cristina;2015;Ingresos programados;2222.0
hospital_universitario_infanta_cristina;2016;Ingresos programados;2111.0
hospital_universitario_infanta_cristina;2017;Ingresos programados;2106.0
hospital_universitario_infanta_cristina;2018;Ingresos programados;2007.0
hospital_universitario_infanta_cristina;2019;Ingresos programados;1939.0
hospital_universitario_infanta_cristina;2020;Ingresos programados;1497.0
hospital_universitario_infanta_cristina;2021;Ingresos programados;1521.0
hospital_universitario_infanta_cristina;2022;Ingresos programados;1615.0
hospital_universitario_infanta_cristina;2012;Urgencias totales;90602.0
hospital_universitario_infanta_cristina;2013;Urgencias totales;91030.0
hospital_universitario_infanta_cristina;2014;Urgencias totales;92466.0
hospital_universitario_infanta_cristina;2015;Urgencias totales;98437.0
hospital_universitario_infanta_cristina;2016;Urgencias totales;99860.0
hospital_universitario_infanta_cristina;2017;Urgencias totales;102280.0
hospital_universitario_infanta_cristina;2018;Urgencias totales;99954.0
hospital_universitario_infanta_cristina;2019;Urgencias totales;103872.0
hospital_universitario_infanta_cristina;2020;Urgencias totales;80002.0
hospital_universitario_infanta_cristina;2021;Urgencias totales;103744.0
hospital_universitario_infanta_cristina;2022;Urgencias totales;114379.0
hospital_universitario_severo_ochoa;2012;Estancia media global;7.09
hospital_universitario_severo_ochoa;2013;Estancia media global;7.42
hospital_universitario_severo_ochoa;2014;Estancia media global;7.65
hospital_universitario_severo_ochoa;2015;Estancia media global;7.4
hospital_universitario_severo_ochoa;2016;Estancia media global;7.05
hospital_universitario_severo_ochoa;2017;Estancia media global;6.84
hospital_universitario_severo_ochoa;2018;Estancia media global;6.8
hospital_universitario_severo_ochoa;2019;Estancia media global;6.89
hospital_universitario_severo_ochoa;2020;Estancia media global;7.14
hospital_universitario_severo_ochoa;2021;Estancia media global;6.71
hospital_universitario_severo_ochoa;2022;Estancia media global;6.22
hospital_universitario_severo_ochoa;2012;Total ingresos;15023.0
hospital_universitario_severo_ochoa;2013;Total ingresos;14616.0
hospital_universitario_severo_ochoa;2014;Total ingresos;14237.0
hospital_universitario_severo_ochoa;2015;Total ingresos;14791.0
hospital_universitario_severo_ochoa;2016;Total ingresos;15388.0
hospital_universitario_severo_ochoa;2017;Total ingresos;15807.0
hospital_universitario_severo_ochoa;2018;Total ingresos;15835.0
hospital_universitario_severo_ochoa;2019;Total ingresos;16005.0
hospital_universitario_severo_ochoa;2020;Total ingresos;13860.0
hospital_universitario_severo_ochoa;2021;Total ingresos;13826.0
hospital_universitario_severo_ochoa;2022;Total ingresos;15119.0
hospital_universitario_severo_ochoa;2012;Ingresos urgentes;10955.0
hospital_universitario_severo_ochoa;2013;Ingresos urgentes;11132.0
hospital_universitario_severo_ochoa;2014;Ingresos urgentes;10990.0
hospital_universitario_severo_ochoa;2015;Ingresos urgentes;11447.0
hospital_universitario_severo_ochoa;2016;Ingresos urgentes;11698.0
hospital_universitario_severo_ochoa;2017;Ingresos urgentes;11933.0
hospital_universitario_severo_ochoa;2018;Ingresos urgentes;11842.0
hospital_universitario_severo_ochoa;2019;Ingresos urgentes;11972.0
hospital_universitario_severo_ochoa;2020;Ingresos urgentes;11079.0
hospital_universitario_severo_ochoa;2021;Ingresos urgentes;10613.0
hospital_universitario_severo_ochoa;2022;Ingresos urgentes;11456.0
hospital_universitario_severo_ochoa;2012;Ingresos programados;4068.0
hospital_universitario_severo_ochoa;2013;Ingresos programados;3484.0
hospital_universitario_severo_ochoa;2014;Ingresos programados;3247.0
hospital_universitario_severo_ochoa;2015;Ingresos programados;3344.0
hospital_universitario_severo_ochoa;2016;Ingresos programados;3690.0
hospital_universitario_severo_ochoa;2017;Ingresos programados;3874.0
hospital_universitario_severo_ochoa;2018;Ingresos programados;3993.0
hospital_universitario_severo_ochoa;2019;Ingresos programados;4033.0
hospital_universitario_severo_ochoa;2020;Ingresos programados;2781.0
hospital_universitario_severo_ochoa;2021;Ingresos programados;3213.0
hospital_universitario_severo_ochoa;2022;Ingresos programados;3663.0
hospital_universitario_severo_ochoa;2012;Urgencias totales;103471.0
hospital_universitario_severo_ochoa;2013;Urgencias totales;106335.0
hospital_universitario_severo_ochoa;2014;Urgencias totales;107430.0
hospital_universitario_severo_ochoa;2015;Urgencias totales;110808.0
hospital_universitario_severo_ochoa;2016;Urgencias totales;111637.0
hospital_universitario_severo_ochoa;2017;Urgencias totales;110832.0
hospital_universitario_severo_ochoa;2018;Urgencias totales;109048.0
hospital_universitario_severo_ochoa;2019;Urgencias totales;112096.0
hospital_universitario_severo_ochoa;2020;Urgencias totales;83248.0
hospital_universitario_severo_ochoa;2021;Urgencias totales;104743.0
hospital_universitario_severo_ochoa;2022;Urgencias totales;120849.0
hospital_universitario_principe_de_asturias;2012;Estancia media global;6.81
